_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"320","0.108737000","69.148.243.171","38.107.216.37","1","1276641","0","49048"
"321","0.108752000","69.148.243.171","38.107.216.37","1","1279537","0","49048"
"322","0.108752000","69.148.243.171","38.107.216.37","1","1282433","0","49048"
"323","0.109272000","69.148.243.171","38.107.216.37","1","1289673","0","49048"
"324","0.109273000","69.148.243.171","38.107.216.37","1","1302705","0","49048"
"325","0.109273000","69.148.243.171","38.107.216.37","1","1305601","0","49048"
"326","0.109294000","38.107.216.37","69.148.243.171","1347593","1","31856","44465"
"327","0.110513000","69.148.243.171","38.107.216.37","1","1312841","0","49048"
"328","0.110513000","69.148.243.171","38.107.216.37","1","1322977","0","49048"
"329","0.110549000","38.107.216.37","69.148.243.171","1379449","1","33304","44465"
"330","0.110741000","69.148.243.171","38.107.216.37","1","1336009","0","49048"
"331","0.111505000","69.148.243.171","38.107.216.37","1","1347593","0","49048"
"332","0.112521000","69.148.243.171","38.107.216.37","1","1356281","0","49048"
"333","0.112544000","38.107.216.37","69.148.243.171","1412753","1","33304","44465"
"334","0.112736000","69.148.243.171","38.107.216.37","1","1370761","0","49048"
"335","0.112742000","69.148.243.171","38.107.216.37","1","1379449","0","49048"
"336","0.113519000","69.148.243.171","38.107.216.37","1","1388137","0","49048"
"337","0.113537000","38.107.216.37","69.148.243.171","1446057","1","31856","44465"
"338","0.114007000","69.148.243.171","38.107.216.37","1","1402617","0","49048"
"339","0.114007000","69.148.243.171","38.107.216.37","1","1412753","0","49048"
"340","0.114014000","38.107.216.37","69.148.243.171","1477913","1","33304","44465"
"341","0.115509000","69.148.243.171","38.107.216.37","1","1418545","0","49048"
"342","0.115997000","69.148.243.171","38.107.216.37","1","1430129","0","49048"
"343","0.115997000","69.148.243.171","38.107.216.37","1","1446057","0","49048"
"344","0.116004000","38.107.216.37","69.148.243.171","1511217","1","17376","44465"
"345","0.116012000","38.107.216.37","69.148.243.171","1528593","1","14480","44465"
"346","0.116765000","69.148.243.171","38.107.216.37","1","1454745","0","49048"
"347","0.116765000","69.148.243.171","38.107.216.37","1","1469225","0","49048"
"348","0.116765000","69.148.243.171","38.107.216.37","1","1477913","0","49048"
"349","0.116793000","38.107.216.37","69.148.243.171","1543073","1","34752","44465"
"350","0.117288000","69.148.243.171","38.107.216.37","1","1485153","0","49048"
"351","0.117288000","69.148.243.171","38.107.216.37","1","1502529","0","49048"
"352","0.117492000","69.148.243.171","38.107.216.37","1","1511217","0","49048"
"353","0.117496000","38.107.216.37","69.148.243.171","1577825","1","30408","44465"
"354","0.117502000","38.107.216.37","69.148.243.171","1608233","1","5792","44465"
